,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
32,32,1179787,20241229042300,city scrape,Jean-Philippe & Xuong,2013-05-18,within an hour,100%,99%,t,2,2,46.21005,6.14517,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Washer"", ""HDTV with premium cable, standard cable"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Mountain view"", ""City skyline view"", ""Paid parking off premises"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Wifi""]",$85.00,3,14,3,3,14,14,3.0,14.0,t,18,22,24,24,688,50,3,4.85,4.91,4.91,4.95,4.96,4.9,4.77,f,2,0,2,0,4.87
33,33,1192759,20241229042300,city scrape,Jean-Philippe & Xuong,2013-05-18,within an hour,100%,99%,t,2,2,46.20884,6.14587,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Dishes and silverware"", ""Free washer \u2013 In unit"", ""Essentials"", ""Elevator"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Hangers"", ""Iron"", ""Paid parking off premises"", ""Host greets you"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Hot water"", ""51 inch HDTV with standard cable, premium cable"", ""Shampoo"", ""Wifi""]",$83.00,3,14,3,3,14,14,3.0,14.0,t,13,17,19,19,657,37,2,4.82,4.86,4.92,4.93,4.94,4.9,4.77,t,2,0,2,0,4.66
37,37,1298750,20241229042300,city scrape,Mauro,2013-06-23,within an hour,100%,83%,t,1,1,46.22591,6.13007,Private room in rental unit,Private room,3,1.0,1.0,1.0,"[""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""TV with standard cable""]",$99.00,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,90,353,237,21,0,4.7,4.75,4.63,4.84,4.81,4.75,4.66,f,1,0,1,0,1.76
45,45,1706604,20241229042300,city scrape,Christine Laure,2013-09-23,within an hour,98%,85%,t,10,11,46.20016,6.15691,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,"[""Hair dryer"", ""Long term stays allowed"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Refrigerator"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",$219.00,5,1125,5,5,1125,1125,5.0,1125.0,t,6,6,19,288,40,9,0,4.8,4.95,4.88,4.93,4.98,4.98,4.7,f,9,9,0,0,0.29
47,47,1933146,20241229042300,city scrape,Christine Laure,2013-09-23,within an hour,98%,85%,t,10,11,46.20409,6.14667,Entire condo,Entire home/apt,4,1.0,2.0,3.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""Bathtub"", ""Freezer"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Shower gel"", ""Dining table"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",$338.00,1,1125,1,1,1125,1125,1.0,1125.0,t,15,41,70,325,293,50,1,4.78,4.85,4.8,4.93,4.94,4.97,4.64,f,9,9,0,0,2.18
48,48,1933255,20241229042300,city scrape,Christine Laure,2013-09-23,within an hour,98%,85%,t,10,11,46.20375,6.14667,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Shower gel"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",$395.00,1,1125,1,1,1125,1125,1.0,1125.0,t,12,33,53,252,438,45,1,4.85,4.89,4.86,4.91,4.94,4.93,4.71,f,9,9,0,0,3.26
49,49,1933385,20241229042300,previous scrape,Christine Laure,2013-09-23,within an hour,98%,85%,t,10,11,46.20266,6.14637,Entire rental unit,Entire home/apt,4,,2.0,,"[""Hair dryer"", ""Savon liquide body soap"", ""Long term stays allowed"", ""Bathtub"", ""Stove"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Shower gel"", ""Coffee maker: Nespresso"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",,1,1125,1,1,1125,1125,1.0,1125.0,t,13,35,54,289,309,38,1,4.81,4.91,4.79,4.91,4.95,4.96,4.68,f,9,9,0,0,2.36
50,50,1933491,20241229042300,city scrape,Christine Laure,2013-09-23,within an hour,98%,85%,t,10,11,46.20429,6.14489,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Bathtub"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",$209.00,1,1125,1,1,1125,1125,1.0,1125.0,t,30,60,90,357,106,11,0,4.84,4.81,4.86,4.96,4.97,4.96,4.73,f,9,9,0,0,0.79
53,53,2058042,20241229042300,city scrape,Henrique,2013-12-09,within an hour,100%,100%,t,4,11,46.22086,6.14058,Private room in rental unit,Private room,2,2.0,1.0,0.0,"[""Essentials"", ""Hair dryer"", ""Elevator"", ""Heating"", ""Host greets you"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Hot water"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Dedicated workspace"", ""Kitchen""]",$75.00,30,1000,10,30,1000,1000,27.9,1000.0,t,9,21,49,324,132,13,1,4.85,4.88,4.81,4.89,4.95,4.87,4.77,f,4,1,2,1,1.04
56,56,2336814,20241229042300,city scrape,Christine Laure,2013-09-23,within an hour,98%,85%,t,10,11,46.19987,6.15656,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bauknecht four et micro ondes... 2 en 1 single oven"", ""Bathtub"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Coffee"", ""Free dryer \u2013 In unit"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet, wardrobe, and dresser"", ""Refrigerator"", ""Microwave"", ""Heating"", ""Pocket wifi"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",$150.00,7,365,7,7,365,365,7.0,365.0,t,4,4,4,181,22,4,0,4.67,4.73,4.73,4.73,4.91,4.95,4.59,f,9,9,0,0,0.17
