,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
763,763,37928700,20241229042300,city scrape,Madel,2024-05-28,,,,f,6,6,46.20178,6.16265,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,"[""Hair dryer"", ""Hot water kettle"", ""Lake access"", ""Stove"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Essentials"", ""Dining table"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Oven"", ""Toaster"", ""Refrigerator"", ""Free street parking"", ""Heating"", ""Mini fridge"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Wifi"", ""Self check-in""]",$95.00,5,1125,2,5,1125,1125,4.9,1125.0,t,26,30,30,30,84,18,1,4.64,4.73,4.7,4.73,4.82,4.77,4.48,f,6,6,0,0,1.29
834,834,41652050,20241229042300,previous scrape,Ell,2020-01-17,,,,f,1,1,46.21297,6.1335,Private room in rental unit,Private room,1,,,,"[""Long term stays allowed"", ""Bathtub"", ""Stove"", ""Laundromat nearby"", ""Dishes and silverware"", ""Kitchen"", ""Free dryer"", ""Essentials"", ""Dining table"", ""Dedicated workspace"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Oven"", ""Lock on bedroom door"", ""Refrigerator"", ""Free washer"", ""Microwave"", ""Heating"", ""Hot water"", ""Wifi""]",,4,179,4,4,179,179,4.0,179.0,,0,0,0,0,1,0,0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,f,1,0,1,0,0.04
837,837,41799032,20241229042300,city scrape,Lisa,2020-01-23,within an hour,100%,100%,t,1,2,46.25282,6.14899,Entire guesthouse,Entire home/apt,2,1.0,1.0,2.0,"[""Hair dryer"", ""Conditioner"", ""Coffee maker: espresso machine, french press, Nespresso"", ""Long term stays allowed"", ""Free driveway parking on premises \u2013 1 space"", ""Hot water kettle"", ""Lake access"", ""Barbecue utensils"", ""Books and reading material"", ""Wine glasses"", ""Outdoor furniture"", ""Private entrance"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Portable heater"", ""Free washer \u2013 In unit"", ""Essentials"", ""BBQ grill: charcoal"", ""Garden view"", ""Shower gel"", ""Clothing storage: wardrobe and dresser"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Lockbox"", ""Private backyard \u2013 Not fully fenced"", ""Iron"", ""Drying rack for clothing"", ""Smoke alarm"", ""Toaster"", ""Outdoor dining area"", ""Stainless steel electric stove"", ""Fast wifi \u2013 57 Mbps"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shared beach access"", ""Microwave"", ""Board games"", ""Free street parking"", ""Cleaning products"", ""Extra pillows and blankets"", ""Sun loungers"", ""Single level home"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Ice box within small refrigerator"", ""Self check-in"", ""Room-darkening shades""]",$138.00,2,90,2,2,1125,1125,2.0,1125.0,t,17,47,77,299,75,17,1,4.99,4.99,5.0,5.0,5.0,4.93,4.92,f,1,1,0,0,1.27
861,861,42444950,20241229042300,previous scrape,Nathalie,2020-02-19,,,,f,1,1,46.20308,6.15737,Private room in rental unit,Private room,2,,,,"[""Essentials"", ""Coffee maker"", ""Heating"", ""TV"", ""Wifi"", ""Kitchen""]",,1,7,1,1,7,7,1.0,7.0,t,0,0,0,0,22,0,0,4.77,4.86,4.64,4.95,4.82,4.95,4.73,f,1,0,1,0,0.38
868,868,42674230,20241229042300,city scrape,Madel,2024-05-28,,,,f,6,6,46.2237,6.12822,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Refrigerator"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Heating"", ""Self check-in"", ""TV"", ""Breakfast"", ""Private entrance"", ""Shampoo"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Hangers"", ""Lockbox""]",$86.00,5,730,2,5,730,730,4.9,730.0,t,3,3,10,10,13,9,3,4.92,4.92,4.92,4.77,5.0,4.92,5.0,t,6,6,0,0,0.22
870,870,42681733,20241229042300,city scrape,Iván - Cécile,2020-03-03,within a few hours,100%,,f,1,3,46.20607,6.16559,Entire rental unit,Entire home/apt,4,1.5,2.0,3.0,"[""Hair dryer"", ""Paid parking garage on premises \u2013 1 space"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Stove"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""Private entrance"", ""First aid kit"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Crib - available upon request"", ""Trash compactor"", ""Private patio or balcony"", ""Fireplace guards"", ""Essentials"", ""Shared backyard"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dining table"", ""Clothing storage: walk-in closet, closet, and wardrobe"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Oven"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Outdoor playground"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Free street parking"", ""Safe"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Wifi"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Bidet"", ""Blender"", ""Room-darkening shades""]",$380.00,5,90,5,5,90,90,5.0,90.0,t,28,58,88,363,3,0,0,4.67,4.67,5.0,4.33,5.0,5.0,4.67,f,1,1,0,0,0.06
872,872,42756760,20241229042300,city scrape,Marina,2020-03-06,within an hour,100%,99%,t,1,1,46.21496,6.14991,Entire rental unit,Entire home/apt,1,1.0,0.0,1.0,"[""Refrigerator"", ""Essentials"", ""Iron"", ""Heating"", ""Lake access"", ""Bathtub"", ""Clothing storage: wardrobe and dresser"", ""Hot water"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers""]",$72.00,2,10,1,2,1125,1125,2.0,1125.0,t,11,12,12,56,381,79,6,4.81,4.91,4.93,4.9,4.75,4.87,4.77,t,1,1,0,0,6.5
873,873,42759195,20241229042300,city scrape,Madel,2024-05-28,,,,f,6,6,46.22417,6.12708,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Hair dryer"", ""Private entrance"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Paid washer \u2013 In building"", ""Iron"", ""Oven"", ""Electric stove"", ""Toaster"", ""Body soap"", ""Paid dryer \u2013 In building"", ""Refrigerator"", ""Heating"", ""Mini fridge"", ""Cooking basics"", ""Hot water"", ""Wifi"", ""Self check-in"", ""Coffee maker: espresso machine""]",$72.00,5,730,2,5,730,730,4.9,730.0,t,17,47,77,77,60,23,1,4.33,4.55,4.53,4.43,4.65,4.68,4.33,f,6,6,0,0,1.24
881,881,42936495,20241229042300,city scrape,Marie Sylvia,2020-03-17,,,100%,f,3,3,46.20141,6.1583,Private room in serviced apartment,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Long term stays allowed"", ""First aid kit"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Pets allowed"", ""Shower gel"", ""Paid parking lot on premises"", ""Bed linens"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Private living room"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Heating"", ""Extra pillows and blankets"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",$189.00,1,1125,1,2,30,1125,1.0,114.2,t,29,59,89,324,12,0,0,4.67,4.58,5.0,5.0,5.0,5.0,4.67,t,3,0,3,0,0.21
914,914,43700034,20241229042300,previous scrape,Dionisia,2020-06-07,,,,f,1,1,46.19638,6.19412,Private room in rental unit,Private room,2,,,,"[""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""Washer"", ""Hot water"", ""TV"", ""Wifi"", ""Kitchen"", ""Free parking on premises""]",,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,0,0,0,0,,,,,,,,f,1,0,1,0,
915,915,43719200,20241229042300,previous scrape,Marie Sylvia,2020-03-17,,,100%,f,3,3,46.20208,6.15908,Private room in serviced apartment,Private room,4,,1.0,,"[""Hair dryer"", ""First aid kit"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Pets allowed"", ""Shower gel"", ""Bed linens"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Refrigerator"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",,1,30,1,2,30,1125,1.0,114.2,t,25,55,85,319,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,3,0,3,0,0.06
916,916,43721602,20241229042300,city scrape,Marie Sylvia,2020-03-17,,,100%,f,3,3,46.20045,6.15825,Private room in serviced apartment,Private room,2,1.0,1.0,2.0,"[""Hair dryer"", ""First aid kit"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Pets allowed"", ""Shower gel"", ""Bed linens"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Private living room"", ""Fire extinguisher"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",$231.00,1,30,1,2,30,1125,1.0,114.2,t,30,60,90,325,10,0,0,4.4,4.6,4.4,4.8,4.6,4.6,4.5,t,3,0,3,0,0.18
921,921,43874858,20241229042300,city scrape,Silvana,2020-03-27,within an hour,100%,44%,f,1,1,46.20139,6.13087,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,"[""Refrigerator"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Heating"", ""Cooking basics"", ""Hot water"", ""TV"", ""Shampoo"", ""Kitchen""]",$88.00,1,30,1,1,30,30,1.0,30.0,t,4,4,4,4,64,10,0,4.61,4.7,4.64,4.92,4.88,4.69,4.42,f,1,1,0,0,1.17
937,937,44227716,20241229042300,previous scrape,Hôtel Royal,2020-07-13,,,100%,f,5,5,46.21468,6.14599,Room in hotel,Private room,2,,1.0,,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Pets allowed"", ""Shower gel"", ""Bed linens"", ""Hangers"", ""Iron"", ""Clothing storage"", ""Gym"", ""Smoke alarm"", ""Body soap"", ""Fire extinguisher"", ""Refrigerator"", ""Shared sauna"", ""Luggage dropoff allowed"", ""Safe"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Paid parking on premises"", ""Hot water"", ""TV"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",,7,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,0,0,0,,,,,,,,t,5,0,5,0,
938,938,44241540,20241229042300,previous scrape,Hôtel Royal,2020-07-13,,,100%,f,5,5,46.21253,6.14466,Room in hotel,Private room,3,,1.0,,"[""Hair dryer"", ""Conditioner"", ""Long term stays allowed"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Pets allowed"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Coffee"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Exercise equipment"", ""Iron"", ""Free resort access"", ""Clothing storage"", ""Gym"", ""Smoke alarm"", ""Body soap"", ""Shared sauna"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Safe"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Paid parking on premises"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi""]",,7,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,0,0,0,,,,,,,,t,5,0,5,0,
939,939,44241878,20241229042300,previous scrape,Hôtel Royal,2020-07-13,,,100%,f,5,5,46.21456,6.14492,Room in hotel,Private room,2,,1.0,,"[""Hot tub"", ""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Baking sheet"", ""Pets allowed"", ""Shower gel"", ""Coffee"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Gym"", ""Smoke alarm"", ""Oven"", ""Private living room"", ""Shared sauna"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Cleaning available during stay"", ""Paid parking on premises"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",,7,1125,1,1,1125,1125,1.0,1125.0,t,0,0,0,0,0,0,0,,,,,,,,t,5,0,5,0,
