,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
1135,1135,52176655,20241229042300,city scrape,Fassbindhotels,2021-09-10,within an hour,100%,100%,t,8,8,46.2103,6.14276,Room in hotel,Private room,4,2.0,2.0,4.0,"[""Hair dryer"", ""Exercise equipment"", ""Iron"", ""Pets allowed"", ""Wifi"", ""Crib"", ""Heating"", ""Paid parking on premises"", ""Smoke alarm"", ""TV"", ""Carbon monoxide alarm"", ""Air conditioning"", ""Dedicated workspace"", ""First aid kit"", ""Exterior security cameras on property"", ""Fire extinguisher""]",$200.00,2,7,2,2,1125,1125,2.0,1125.0,t,15,43,71,71,108,25,0,4.81,4.81,4.87,4.86,4.68,4.93,4.83,t,8,0,8,0,2.8
1138,1138,52342854,20241229042300,previous scrape,Marc,2012-09-10,within an hour,98%,91%,f,177,447,46.20403,6.16222,Entire condo,Entire home/apt,2,,1.0,,"[""Essentials"", ""Iron"", ""Cooking basics"", ""Washer"", ""TV"", ""Dedicated workspace"", ""Wifi"", ""Hangers""]",,5,1125,5,5,1125,1125,5.0,1125.0,t,0,0,0,0,2,0,0,4.0,4.0,4.0,4.5,4.0,5.0,4.0,f,101,92,7,0,0.05
1139,1139,52452811,20241229042300,city scrape,Antonino,2018-06-01,within an hour,100%,100%,f,1,1,46.21291,6.15089,Entire condo,Entire home/apt,2,2.0,1.0,2.0,"[""Hair dryer"", ""Conditioner"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Wine glasses"", ""Outdoor furniture"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Private hot tub"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dining table"", ""Coffee"", ""Free dryer \u2013 In unit"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Body soap"", ""Outdoor dining area"", ""Paid street parking off premises"", ""Exercise equipment: yoga mat"", ""55 inch HDTV with premium cable"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Wifi"", ""Cleaning products"", ""Shampoo"", ""Cooking basics"", ""Hot water"", ""Courtyard view"", ""Bluetooth sound system"", ""Self check-in"", ""Blender"", ""Room-darkening shades""]",$219.00,5,21,1,5,1125,1125,5.0,1125.0,t,16,28,49,264,20,6,0,4.95,4.95,4.8,5.0,5.0,4.95,4.7,f,1,1,0,0,0.59
1141,1141,52547573,20241229042300,city scrape,May,2011-10-09,within an hour,100%,100%,f,4,6,46.18619,6.13632,Entire condo,Entire home/apt,2,1.5,1.0,1.0,"[""Hair dryer"", ""Conditioner"", ""Private backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Laundromat nearby"", ""Wine glasses"", ""Outdoor furniture"", ""Private entrance"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Babysitter recommendations"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Garden view"", ""Shower gel"", ""Coffee maker: Nespresso"", ""Dining table"", ""Paid parking lot on premises"", ""Dedicated workspace"", ""Free dryer \u2013 In unit"", ""Exterior security cameras on property"", ""Rice maker"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Clothing storage: dresser"", ""Iron"", ""Drying rack for clothing"", ""Stainless steel oven"", ""Park view"", ""Google Bluetooth sound system"", ""Courtyard view"", ""Body soap"", ""HDTV"", ""Outdoor dining area"", ""Paid street parking off premises"", ""Exercise equipment: yoga mat"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Stainless steel induction stove"", ""Free street parking"", ""Cleaning products"", ""Fast wifi \u2013 103 Mbps"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Blender"", ""Room-darkening shades""]",$180.00,6,28,6,6,28,28,6.0,28.0,t,14,44,74,254,2,0,0,4.5,4.5,5.0,5.0,5.0,5.0,4.5,f,2,2,0,0,0.08
1142,1142,52584217,20241229042300,city scrape,Darshana,2019-03-01,within a few hours,80%,63%,f,4,4,46.21058,6.14764,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Conditioner"", ""Long term stays allowed"", ""Hot water kettle"", ""Lake access"", ""Bathtub"", ""Freezer"", ""Stove"", ""Laundromat nearby"", ""Washer"", ""Wine glasses"", ""Private entrance"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Dedicated workspace"", ""Ethernet connection"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Paid parking off premises"", ""Smoke alarm"", ""Oven"", ""Toaster"", ""Body soap"", ""Paid dryer \u2013 In building"", ""Lock on bedroom door"", ""Refrigerator"", ""EV charger"", ""Shared beach access"", ""Luggage dropoff allowed"", ""Microwave"", ""Cleaning products"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",$69.00,1,365,1,1,365,365,1.0,365.0,t,27,57,87,362,0,0,0,,,,,,,,f,4,0,4,0,
1143,1143,52609352,20241229042300,city scrape,Mélodie,2012-05-21,within an hour,100%,100%,f,1,2,46.20692,6.11611,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,"[""Pets allowed"", ""Wifi"", ""Washer"", ""First aid kit"", ""Smoking allowed"", ""Kitchen""]",$120.00,3,30,3,3,30,30,3.0,30.0,t,7,14,14,14,9,1,0,5.0,5.0,5.0,4.78,5.0,4.89,5.0,f,1,1,0,0,0.45
1144,1144,52615378,20241229042300,city scrape,Darshana,2019-03-01,within a few hours,80%,63%,f,4,4,46.21131,6.14932,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Paid parking on premises"", ""Smoke alarm"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Lock on bedroom door""]",$59.00,4,365,4,4,365,365,4.0,365.0,t,4,30,32,304,8,0,0,4.63,4.13,4.25,4.5,4.5,4.88,4.5,f,4,0,4,0,0.21
1145,1145,52615413,20241229042300,city scrape,Darshana,2019-03-01,within a few hours,80%,63%,f,4,4,46.21373,6.14842,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Hot tub"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Wine glasses"", ""Private entrance"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Trash compactor"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Shower gel"", ""Dining table"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""Paid washer \u2013 In building"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet"", ""Stainless steel oven"", ""Paid parking off premises"", ""Toaster"", ""Body soap"", ""Stainless steel electric stove"", ""Paid dryer \u2013 In building"", ""Lock on bedroom door"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Cleaning products"", ""Extra pillows and blankets"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Room-darkening shades""]",$48.00,7,365,7,7,365,365,7.0,365.0,t,0,0,19,294,4,3,0,5.0,5.0,4.5,5.0,4.75,5.0,4.5,f,4,0,4,0,0.33
1146,1146,52618612,20241229042300,city scrape,Ahmed Allah,2021-08-29,within an hour,100%,91%,f,1,1,46.21557,6.14719,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,"[""Hair dryer"", ""Bathtub"", ""Portable air conditioning"", ""Central heating"", ""Smoking allowed"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Pets allowed"", ""Dedicated workspace"", ""Iron"", ""Coffee maker"", ""Body soap"", ""Refrigerator"", ""Cleaning products"", ""Cooking basics"", ""Wifi"", ""Self check-in"", ""49 inch HDTV""]",$109.00,2,1125,2,2,1125,1125,2.0,1125.0,t,0,0,0,272,23,9,0,4.17,4.52,4.13,4.43,4.91,4.83,4.17,f,1,1,0,0,0.85
1150,1150,52871099,20241229042300,city scrape,Marc,2012-09-10,within an hour,98%,91%,f,177,447,46.19455,6.16377,Entire condo,Entire home/apt,6,2.5,3.0,3.0,"[""Hair dryer"", ""Long term stays allowed"", ""Freezer"", ""Stove"", ""Washer"", ""Wine glasses"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Essentials"", ""Elevator"", ""Coffee maker: Nespresso"", ""Dining table"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Clothing storage"", ""Oven"", ""Free parking on premises"", ""Refrigerator"", ""Dishwasher"", ""Heating"", ""Cooking basics"", ""Hot water"", ""TV"", ""Wifi""]",$290.00,2,365,2,2,365,365,2.0,365.0,t,0,0,0,242,0,0,0,,,,,,,,f,101,92,7,0,
