,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
132,132,6754751,20241229042300,city scrape,Celine,2013-02-21,within a day,75.0,75%,f,1,1,46.21185,6.13475,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,"[""Hair dryer"", ""Outlet covers"", ""Movie theater"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Outdoor furniture"", ""Breakfast"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Babysitter recommendations"", ""Essentials"", ""Elevator"", ""Changing table"", ""Dedicated workspace"", ""High chair"", ""Hangers"", ""Shared backyard \u2013 Not fully fenced"", ""Exercise equipment"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Children\u2019s dinnerware"", ""Oven"", ""Host greets you"", ""Refrigerator"", ""Dishwasher"", ""Board games"", ""Free street parking"", ""Baby monitor"", ""Crib"", ""Heating"", ""Children\u2019s books and toys"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",95.0,3,20,3,4,20,20,3.0,20.0,t,1,6,9,9,14,1,0,5.0,4.93,5.0,5.0,4.93,4.93,4.79,f,1,1,0,0,0.13
134,134,6809505,20241229042300,previous scrape,Fatima,2015-04-05,,,,f,1,2,46.22681,6.11334,Entire home,Entire home/apt,7,,3.0,,"[""Essentials"", ""Iron"", ""Microwave"", ""Free parking on premises"", ""Free street parking"", ""Heating"", ""Backyard"", ""Dryer"", ""Washer"", ""Air conditioning"", ""Wifi"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""TV with standard cable""]",,3,60,3,3,1125,1125,3.0,1125.0,t,0,0,0,0,47,0,0,4.7,4.62,4.55,4.81,4.85,4.72,4.3,t,1,1,0,0,0.44
153,153,7490872,20241229042300,city scrape,Veronique,2015-07-22,within an hour,100.0,9%,f,1,2,46.25373,6.21792,Entire home,Entire home/apt,5,1.0,2.0,3.0,"[""Keypad"", ""Essentials"", ""Hair dryer"", ""Iron"", ""Heating"", ""Smoke alarm"", ""TV"", ""Carbon monoxide alarm"", ""Breakfast"", ""Shampoo"", ""Wifi"", ""Self check-in"", ""Hangers"", ""Free parking on premises""]",200.0,1,15,1,1,15,15,1.0,15.0,t,30,60,90,365,35,1,0,4.77,4.86,4.83,4.97,4.83,4.89,4.6,f,1,1,0,0,0.34
160,160,7632418,20241229042300,previous scrape,Van,2015-07-30,,,,f,1,1,46.2114,6.14129,Entire rental unit,Entire home/apt,5,,2.0,,"[""Hair dryer"", ""Long term stays allowed"", ""Bathtub"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Window guards"", ""Shower gel"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Patio or balcony"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi""]",,2,1125,2,3,1125,1125,2.3,1125.0,t,0,0,0,0,417,0,0,4.7,4.88,4.64,4.86,4.93,4.89,4.66,f,1,1,0,0,3.68
161,161,7632813,20241229042300,city scrape,Maria Leonor,2015-07-30,within a few hours,90.0,33%,,5,7,46.25202,6.14698,Entire condo,Entire home/apt,6,2.0,3.0,5.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Stove"", ""Washer"", ""Private entrance"", ""First aid kit"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Building staff"", ""Essentials"", ""Shared pool"", ""Dedicated workspace"", ""Portable fans"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Sound system"", ""Coffee maker"", ""Children\u2019s dinnerware"", ""Oven"", ""Fire extinguisher"", ""Refrigerator"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Backyard"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Cleaning available during stay"", ""Wifi"", ""Self check-in"", ""Room-darkening shades""]",250.0,7,1125,7,7,1125,1125,7.0,1125.0,t,25,51,81,171,7,1,0,4.71,4.43,4.71,4.86,4.86,4.43,4.29,f,2,1,1,0,0.07
166,166,7798321,20241229042300,city scrape,Laurent,2015-08-10,within an hour,100.0,100%,t,2,3,46.2082748413086,6.14606189727783,Entire serviced apartment,Entire home/apt,7,3.0,4.0,5.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""First aid kit"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Hangers"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""45 inch HDTV with standard cable"", ""Paid parking off premises"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Children\u2019s books and toys"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",462.0,3,1125,1,4,365,365,1.9,365.0,t,11,35,57,286,253,33,3,4.8,4.81,4.78,4.88,4.83,4.94,4.62,t,2,2,0,0,2.22
171,171,7910947,20241229042300,city scrape,Laurent,2015-08-10,within an hour,100.0,100%,t,2,3,46.20862,6.14719,Entire rental unit,Entire home/apt,7,3.0,4.0,5.0,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""55 inch HDTV with standard cable"", ""High chair"", ""Bed linens"", ""Hangers"", ""Lockbox"", ""Resort access"", ""Iron"", ""Coffee maker"", ""Paid parking off premises"", ""Children\u2019s dinnerware"", ""Smoke alarm"", ""Oven"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Children\u2019s books and toys"", ""Single level home"", ""Cooking basics"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Self check-in""]",462.0,4,1125,1,6,365,365,2.0,365.0,t,0,26,35,288,201,11,0,4.68,4.68,4.64,4.83,4.81,4.9,4.6,t,2,2,0,0,1.79
172,172,8002998,20241229042300,city scrape,Alain,2015-08-22,,,,f,1,5,46.21947,6.1214,Entire townhouse,Entire home/apt,8,3.0,3.0,4.0,"[""Hair dryer"", ""Long term stays allowed"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Books and reading material"", ""Stove"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Wine glasses"", ""Outdoor furniture"", ""Private entrance"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Essentials"", ""Baking sheet"", ""Shower gel"", ""Dining table"", ""Ethernet connection"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""High chair"", ""Lockbox"", ""Iron"", ""Coffee maker"", ""Clothing storage"", ""Smoke alarm"", ""Oven"", ""Body soap"", ""Outdoor dining area"", ""Fire extinguisher"", ""Refrigerator"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Crib"", ""Cleaning products"", ""Extra pillows and blankets"", ""Heating"", ""Mini fridge"", ""Cleaning available during stay"", ""Cooking basics"", ""Hot water"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in"", ""Room-darkening shades""]",610.0,2,1125,2,2,1125,1125,2.0,1125.0,t,17,20,20,121,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.01
181,181,8235475,20241229042300,city scrape,Deepak,2015-09-02,within a few hours,100.0,100%,f,1,1,46.20695,6.07419,Private room in villa,Private room,6,1.0,2.0,3.0,"[""Hair dryer"", ""Private backyard \u2013 Fully fenced"", ""Long term stays allowed"", ""Hot water kettle"", ""Shared patio or balcony"", ""Books and reading material"", ""Wine glasses"", ""Outdoor furniture"", ""BBQ grill"", ""First aid kit"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Essentials"", ""Baking sheet"", ""Shower gel"", ""Dining table"", ""Coffee"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Hangers"", ""Exercise equipment"", ""Iron"", ""Coffee maker"", ""Mountain view"", ""Drying rack for clothing"", ""Fire pit"", ""Clothing storage: wardrobe"", ""Good shampoo"", ""Siemens electric stove"", ""Smoke alarm"", ""Oven"", ""Outdoor dining area"", ""55 inch HDTV with Amazon Prime Video, Netflix, premium cable"", ""Hammock"", ""Host greets you"", ""Fire extinguisher"", ""Refrigerator"", ""Free parking on premises"", ""Game console: Nintendo Wii"", ""Luggage dropoff allowed"", ""Board games"", ""Free street parking"", ""Cleaning products"", ""Sun loungers"", ""Children\u2019s books and toys"", ""Shared hot tub"", ""Cooking basics"", ""Hot water"", ""Wifi""]",159.0,2,1125,2,2,1125,1125,2.0,1125.0,t,17,47,77,257,18,2,0,4.56,4.61,4.61,4.67,4.78,4.56,4.56,f,1,0,1,0,0.76
192,192,9161848,20241229042300,previous scrape,Martin,2013-08-20,within a few hours,93.0,80%,t,5,5,46.20822,6.14934,Entire serviced apartment,Entire home/apt,6,,2.0,,"[""Hair dryer"", ""Long term stays allowed"", ""Lake access"", ""Bathtub"", ""Pack \u2019n play/Travel crib"", ""Washer"", ""Carbon monoxide alarm"", ""First aid kit"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Essentials"", ""Baking sheet"", ""Elevator"", ""Pets allowed"", ""Shower gel"", ""Changing table"", ""Dedicated workspace"", ""High chair"", ""Bed linens"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Oven"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Microwave"", ""Crib"", ""Heating"", ""Extra pillows and blankets"", ""Paid parking on premises"", ""Dryer"", ""Cooking basics"", ""Hot water"", ""Game console"", ""Air conditioning"", ""Shampoo"", ""Wifi"", ""Self check-in""]",,1,1125,1,5,1125,1125,1.1,1125.0,t,0,0,0,0,18,3,0,5.0,5.0,4.89,5.0,5.0,5.0,4.83,f,5,5,0,0,0.19
