,Unnamed: 0,ID ANUNCIIO,ID SCRAPE,FUENTE INFO,NOMBRE ANFITRION,FECHA INICIO ANFITRION,TIEMPO DE RESPUESTA,TASA DE RESPUESTA,TASA DE ACEPTACION,SUPERANFITRION,CANTIDAD ANUNCIOS,CANTIDAD TOTAL ANUNCIOS,LATITUD,LONGITUD,TIPO DE PROPIEDAD,TIPO DE CUARTO,CAPACIDAD,BAÑOS,DORMITORIOS,CAMAS,AMENIDADES,PRECIO,NOCHES MINIMAS,NOCHES MAXIMAS,MINIMO NOCHES MINIMAS,MAXIMO NOCHES MINIMAS,MINIMO NOCHES MAXIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MINIMAS,PROMEDIO NOCHES MAXIMAS,TIENE DISPONIBILIDAD,DISPONIBILIDAD 30D,DISPONIBILIDAD 60D,DISPONIBILIDAD 90D,DISPONIBILIDAD 365D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 12M,REVIEWS ULTIMOS 30D,PUNTAJE RATING,PUNTAJE PRECISION,PUNTAJE LIMPIEZA,PUNTAJE CHECKIN,PUNTAJE COMUNICACION,PUNTAJE UBICACION,PUNTAJE VALOR,RESERVA INSTANTANEA,ANUNCIOS ANFITRION,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION PRIVADA,ANUNCIOS HABITACION COMPARTIDA,REVIEWS POR MES
37,37,1298750,20241229042300,city scrape,Mauro,2013-06-23,within an hour,100.0,83%,t,1,1,46.22591,6.13007,Private room in rental unit,Private room,3,1.0,1.0,1.0,"[""Essentials"", ""Hair dryer"", ""Iron"", ""Elevator"", ""Heating"", ""Dryer"", ""Cooking basics"", ""Washer"", ""Hot water"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""TV with standard cable""]",99.0,2,1125,2,2,1125,1125,2.0,1125.0,t,30,60,90,353,237,21,0,4.7,4.75,4.63,4.84,4.81,4.75,4.66,f,1,0,1,0,1.76
41,41,1479883,20241229042300,city scrape,Patrick,2013-02-16,within a day,100.0,100%,f,1,2,46.20451,6.19309,Private room in home,Private room,3,2.0,1.0,0.0,"[""Essentials"", ""Free parking on premises"", ""Pets allowed"", ""Heating"", ""Pocket wifi"", ""Dryer"", ""Noise decibel monitors on property"", ""Washer"", ""Hot water"", ""Smoke alarm"", ""Air conditioning"", ""Wifi"", ""Exterior security cameras on property"", ""Kitchen"", ""Bed linens"", ""Lock on bedroom door"", ""TV with standard cable""]",68.0,2,90,2,2,90,90,2.0,90.0,t,0,0,0,11,4,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,0,1,0,0.04
46,46,1917876,20241229042300,city scrape,Ana,2013-11-11,,,,f,1,1,46.19601,6.1226,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""Hair dryer"", ""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Stove"", ""Wine glasses"", ""Trash compactor"", ""Dishes and silverware"", ""Kitchen"", ""Private patio or balcony"", ""Essentials"", ""Coffee"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Coffee maker"", ""Clothing storage"", ""Paid parking off premises"", ""Oven"", ""Toaster"", ""Wifi \u2013 45 Mbps"", ""Fire extinguisher"", ""Refrigerator"", ""Luggage dropoff allowed"", ""Dishwasher"", ""Microwave"", ""Free street parking"", ""Heating"", ""Cleaning products"", ""Extra pillows and blankets"", ""Backyard"", ""Cooking basics"", ""Hot water"", ""Room-darkening shades""]",75.0,1,3,1,1,3,3,1.0,3.0,t,16,20,20,20,73,0,0,4.99,4.88,4.99,5.0,4.96,4.79,4.92,f,1,0,1,0,0.89
51,51,2022387,20241229042300,city scrape,Aline,2013-12-02,within a day,67.0,71%,f,1,1,46.20279,6.13424,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Refrigerator"", ""Essentials"", ""Iron"", ""Coffee maker"", ""Elevator"", ""Wifi"", ""Heating"", ""First aid kit"", ""Lake access"", ""Dryer"", ""Washer"", ""Dedicated workspace"", ""HDTV"", ""Indoor fireplace"", ""Dishes and silverware"", ""Kitchen"", ""Hangers"", ""Lock on bedroom door""]",85.0,2,15,2,2,15,15,2.0,15.0,t,25,48,73,348,83,2,0,4.72,4.81,4.9,4.91,4.86,4.79,4.68,f,1,0,1,0,0.62
53,53,2058042,20241229042300,city scrape,Henrique,2013-12-09,within an hour,100.0,100%,t,4,11,46.22086,6.14058,Private room in rental unit,Private room,2,2.0,1.0,0.0,"[""Essentials"", ""Hair dryer"", ""Elevator"", ""Heating"", ""Host greets you"", ""Dryer"", ""Smoke alarm"", ""Washer"", ""Hot water"", ""Carbon monoxide alarm"", ""Shampoo"", ""Wifi"", ""Dedicated workspace"", ""Kitchen""]",75.0,30,1000,10,30,1000,1000,27.9,1000.0,t,9,21,49,324,132,13,1,4.85,4.88,4.81,4.89,4.95,4.87,4.77,f,4,1,2,1,1.04
59,59,2358650,20241229042300,city scrape,Ania,2014-02-08,,,100%,f,1,1,46.19715,6.17072,Private room in condo,Private room,3,2.0,2.0,3.0,"[""Hair dryer"", ""Washer"", ""Dishes and silverware"", ""Kitchen"", ""Smoking allowed"", ""Essentials"", ""Elevator"", ""Pets allowed"", ""Hangers"", ""TV with standard cable"", ""Iron"", ""Coffee maker"", ""Smoke alarm"", ""Host greets you"", ""Free parking on premises"", ""Refrigerator"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Microwave"", ""Free street parking"", ""Heating"", ""Dryer"", ""Hot water"", ""Shampoo"", ""Wifi""]",179.0,1,5,1,1,5,5,1.0,5.0,t,28,58,88,178,108,5,0,4.72,4.73,4.89,4.84,4.84,4.67,4.75,t,1,0,1,0,0.84
61,61,2420928,20241229042300,city scrape,Messaoud,2014-02-08,within an hour,100.0,18%,f,1,1,46.18977,6.13583,Private room in condo,Private room,1,1.0,1.0,1.0,"[""Hot water kettle"", ""Bathtub"", ""Freezer"", ""Central heating"", ""Dishes and silverware"", ""Kitchen"", ""Other electric stove"", ""Essentials"", ""Baking sheet"", ""Dining table"", ""Dedicated workspace"", ""Bed linens"", ""Hangers"", ""Iron"", ""Drying rack for clothing"", ""Clothing storage: closet and dresser"", ""Smoke alarm"", ""Paid street parking off premises"", ""Host greets you"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Refrigerator"", ""Coffee maker: pour-over coffee"", ""Pocket wifi"", ""Cleaning products"", ""Extra pillows and blankets"", ""Single oven"", ""Cooking basics"", ""Hot water"", ""Bread maker"", ""Wifi"", ""Room-darkening shades"", ""Paid washer \u2013 In unit""]",59.0,1,30,1,1,30,30,1.0,30.0,t,27,57,87,87,32,8,0,4.5,4.81,4.22,4.81,4.84,4.66,4.47,f,1,0,1,0,0.25
62,62,2452737,20241229042300,previous scrape,Philippe,2014-01-14,,,,f,1,1,46.21223,6.14099,Private room in rental unit,Private room,1,,,,"[""Keypad"", ""Essentials"", ""Elevator"", ""Wifi"", ""Heating"", ""Lake access"", ""Self check-in"", ""Smoke alarm"", ""Washer"", ""Hot water"", ""First aid kit"", ""Kitchen"", ""Bed linens"", ""Hangers"", ""Fire extinguisher""]",,2,10,2,2,10,10,2.0,10.0,,0,0,0,0,161,0,0,4.82,4.85,4.96,4.83,4.96,4.9,4.8,f,1,0,1,0,1.22
69,69,2777113,20241229042300,city scrape,Catherine,2012-11-13,within an hour,100.0,64%,f,2,3,46.19341,6.13736,Private room in rental unit,Private room,1,1.5,1.0,1.0,"[""Refrigerator"", ""Essentials"", ""Hair dryer"", ""Microwave"", ""Elevator"", ""Patio or balcony"", ""Heating"", ""Host greets you"", ""Stove"", ""Oven"", ""Hot water"", ""Dedicated workspace"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Hangers""]",70.0,6,1125,6,6,1125,1125,6.0,1125.0,t,28,58,88,363,16,0,0,4.56,4.81,4.88,5.0,4.63,4.94,4.38,f,1,0,1,0,0.13
70,70,2940931,20241229042300,city scrape,Marie-Antoinette,2014-04-05,within an hour,100.0,62%,t,2,6,46.16335,6.11348,Private room in rental unit,Private room,1,1.0,1.0,1.0,"[""Essentials"", ""Elevator"", ""Heating"", ""Washer"", ""Wifi"", ""Kitchen"", ""TV with standard cable""]",60.0,7,1125,7,7,1125,1125,7.0,1125.0,t,27,57,87,362,31,0,0,4.77,4.83,4.81,4.83,4.73,4.6,4.8,f,2,0,2,0,0.25
